coords,Region 1,Region 2,Region 3,Region 4,Region 5,Region 6,Region 7,Region 8,Region 9,Region 10
"(-165.25, 64.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054047602110603096
"(-165.25, 64.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99909539652177
"(-165.25, 65.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-165.25, 65.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-165.25, 66.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8982607306245959
"(-165.25, 67.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054566169474200725
"(-165.25, 68.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9677025175970221
"(-165.25, 68.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7300685897824144
"(-164.75, 54.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16553761031830788
"(-164.75, 54.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3570620516780543
"(-164.75, 60.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4362469207477233
"(-164.75, 60.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9587521438904593
"(-164.75, 61.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.989998957650123
"(-164.75, 61.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-164.75, 62.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-164.75, 62.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7287262158311669
"(-164.75, 63.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0609320085705755
"(-164.75, 64.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0626986714857641
"(-164.75, 64.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931591935320444
"(-164.75, 65.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-164.75, 65.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-164.75, 66.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995803292862487
"(-164.75, 66.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06726687155486281
"(-164.75, 67.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3826826784201327
"(-164.75, 68.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"(-164.75, 68.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8019146911963912
"(-164.25, 54.25)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04049724553090327
"(-164.25, 54.75)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7331861529990413
